Title,US Gross,Worldwide Gross,Budget,Release,MPAA Rating,Running Time,Distributor,Source,Genre,Type,Director,Rotten Tomatoes,IMDB Rating,IMDB Votes,Cluster
Wallace & Gromit: The Curse of the Were-Rabbit,56068547,185724838,30000000,10/5/05,G,85,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Nick Park,95,7.9,38158,#5
Chicken Little,135386665,314432738,60000000,11/4/05,G,80,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,36,5.8,17415,#2
Harry Potter and the Goblet of Fire,290013036,896013036,150000000,11/18/05,PG-13,157,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,Mike Newell,88,7.6,111946,#1
Walk the Line,119519402,184319402,29000000,11/18/05,PG-13,80,20th Century Fox,Based on Real Life Events,Drama,Dramatization,James Mangold,82,7.9,85235,#3
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,748806957,180000000,12/9/05,PG,140,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,Andrew Adamson,76,,,#1
Brokeback Mountain,83043761,180343761,13900000,12/9/05,R,134,Focus Features,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,87,7.8,115951,#3
King Kong,218080025,550517357,207000000,12/14/05,PG-13,187,Universal,Remake,Adventure,Fantasy,Peter Jackson,83,7.6,132720,#4
Fun With Dick And Jane,110550000,202250000,140000000,12/21/05,PG-13,90,Sony Pictures,Remake,Comedy,Contemporary Fiction,,29,6.3,1788,#5
Inside Man,88634237,184634237,50000000,3/24/06,R,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Spike Lee,86,7.7,86229,#3
Ice Age: The Meltdown,195330621,651899282,75000000,3/31/06,PG,,20th Century Fox,Original Screenplay,Adventure,Fantasy,Carlos Saldanha,,6.9,50981,#1
Scary Movie 4,90710620,178710620,40000000,4/14/06,PG-13,,Weinstein/Dimension,Original Screenplay,Comedy,Contemporary Fiction,David Zucker,37,5,39542,#5
Mission: Impossible III,133501348,397501348,150000000,5/5/06,PG-13,,Paramount Pictures,Based on TV,Action,Contemporary Fiction,J.J. Abrams,70,6.9,74174,#4
Poseidon,60674817,181674817,160000000,5/12/06,PG-13,,Warner Bros.,Remake,Adventure,Contemporary Fiction,Wolfgang Petersen,33,5.6,35930,#4
The Da Vinci Code,217536138,757236138,125000000,5/19/06,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,25,6.4,116903,#4
X-Men: The Last Stand,234362462,459359555,150000000,5/26/06,PG-13,,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Brett Ratner,57,6.9,109125,#4
The Break Up,118806699,202944203,52000000,6/2/06,PG-13,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Peyton Reed,,5.9,38285,#5
Cars,244082982,461923762,70000000,6/9/06,G,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Lasseter,74,7.5,66809,#1
Click,137355633,237555633,82500000,6/23/06,PG-13,,Sony Pictures,Original Screenplay,Comedy,Fantasy,Frank Coraci,32,5,133,#5
Superman Returns,200120000,391120000,232000000,6/28/06,PG-13,157,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Bryan Singer,76,6.6,102751,#4
The Devil Wears Prada,124740460,326551094,35000000,6/30/06,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,David Frankel,75,6.8,66627,#2
Pirates of the Caribbean: Dead Man's Chest,423315812,1065659812,225000000,7/7/06,PG-13,151,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,54,7.3,150446,#1
Miami Vice,63478838,163818556,135000000,7/28/06,R,132,Universal,Based on TV,Action,Contemporary Fiction,Michael Mann,47,6,51921,#5
Talladega Nights: The Ballad of Ricky Bobby,148213377,163013377,73000000,8/4/06,PG-13,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Adam McKay,72,6.4,50407,#5
World Trade Center,70278893,163278893,65000000,8/9/06,PG-13,,Paramount Pictures,Based on Real Life Events,Drama,Dramatization,Oliver Stone,69,6.2,34341,#3
Open Season,85105259,189901703,85000000,9/29/06,PG,87,Sony Pictures,Original Screenplay,Adventure,Kids Fiction,,47,6,52,#5
The Departed,133311000,290539042,90000000,10/6/06,R,152,Warner Bros.,Remake,Drama,Contemporary Fiction,Martin Scorsese,93,8.5,264148,#3
Saw III,80238724,163876815,10000000,10/27/06,R,107,Lionsgate,Original Screenplay,Horror,Contemporary Fiction,Darren Lynn Bousman,25,6.3,60784,#3
Borat,128505958,261572744,18000000,11/3/06,R,83,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,Larry Charles,,7.7,3612,#2
Flushed Away,64665672,177665672,149000000,11/3/06,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334,#5
Casino Royale,167365000,596365000,102000000,11/17/06,PG-13,144,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Martin Campbell,94,8,172936,#4
Happy Feet,198000317,385000317,85000000,11/17/06,PG,108,Warner Bros.,Original Screenplay,Adventure,Kids Fiction,George Miller,74,6.7,42369,#2
Díšjäóç Vu,64038616,181038616,80000000,11/22/06,PG-13,126,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Tony Scott,,7,66106,#5
The Holiday,63280000,205190324,85000000,12/8/06,PG-13,131,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,47,6.9,48215,#5
Blood Diamond,57377916,171377916,100000000,12/8/06,R,143,Warner Bros.,Original Screenplay,Action,Historical Fiction,Edward Zwick,62,8,118925,#3
The Pursuit of Happyness,162586036,306086036,55000000,12/15/06,PG-13,116,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Gabriele Muccino,66,7.8,77939,#3
Eragon,75030163,249488115,100000000,12/15/06,PG,102,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16,5,43555,#2
Night at the Museum,250863268,574480841,110000000,12/22/06,PG,108,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,43,6.4,67133,#1
Ghost Rider,115802596,237702596,120000000,2/16/07,PG-13,110,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235,#4
300,210614939,456068181,60000000,3/9/07,R,117,Warner Bros.,Based on Comic/Graphic Novel,Action,Historical Fiction,Zack Snyder,60,7.8,235508,#4
Spider-Man 3,336530303,890871626,258000000,5/4/07,PG-13,139,Sony Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Sam Raimi,63,6.4,141513,#1
Shrek the Third,322719944,798958162,160000000,5/18/07,PG,92,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,41,6.1,59778,#1
Pirates of the Caribbean: At World's End,309420425,960996492,300000000,5/25/07,PG-13,167,Walt Disney Pictures,Disney Ride,Adventure,Fantasy,Gore Verbinski,45,7,133241,#1
Knocked Up,148761765,218994109,27500000,6/1/07,R,132,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Judd Apatow,90,7.5,111192,#3
Ocean's Thirteen,117144465,311744465,85000000,6/8/07,PG-13,122,Warner Bros.,Remake,Adventure,Contemporary Fiction,Steven Soderbergh,70,6.9,76884,#2
Fantastic Four: Rise of the Silver Surfer,131921738,288215319,120000000,6/15/07,PG,92,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36,,,#4
Evan Almighty,100289690,173219280,175000000,6/22/07,PG,78,Universal,Original Screenplay,Comedy,Fantasy,Tom Shadyac,23,5.5,43164,#2
Live Free or Die Hard,134529403,383531464,110000000,6/27/07,PG-13,128,20th Century Fox,Based on Book/Short Story,Action,Contemporary Fiction,Len Wiseman,82,7.5,130559,#4
Ratatouille,206445654,620495432,150000000,6/29/07,G,111,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Brad Bird,96,8.1,131929,#1
Transformers,319246193,708272592,151000000,7/3/07,PG-13,140,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,57,7.3,197131,#1
Harry Potter and the Order of the Phoenix,292004738,938468864,150000000,7/11/07,PG-13,138,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,78,7.4,104074,#1
Hairspray,118823091,202823091,75000000,7/20/07,PG,117,New Line,Remake,Musical,Historical Fiction,Adam Shankman,91,7.2,41511,#5
I Now Pronounce You Chuck and Larry,119725280,185708462,85000000,7/20/07,PG-13,115,Universal,Original Screenplay,Comedy,Contemporary Fiction,Dennis Dugan,14,6.1,46347,#5
The Simpsons Movie,183135014,527071022,72500000,7/27/07,PG-13,86,20th Century Fox,Based on TV,Comedy,Contemporary Fiction,David Silverman,89,7.6,117656,#2
The Bourne Ultimatum,227471070,442161562,130000000,8/3/07,PG-13,114,Universal,Based on Book/Short Story,Action,Contemporary Fiction,Paul Greengrass,93,8.2,146025,#4
Rush Hour 3,140125968,253025968,180000000,8/10/07,PG-13,91,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,19,6,39312,#4
Superbad,121463226,169863226,17500000,8/17/07,R,112,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Greg Mottola,87,7.8,134212,#5
Mr. Bean's Holiday,33302167,229736344,25000000,8/24/07,G,88,Universal,Based on TV,Comedy,Contemporary Fiction,,50,6,28950,#5
Bee Movie,126631277,287594577,150000000,11/2/07,PG,90,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Steve Hickner,51,6.3,30575,#2
American Gangster,130164645,265697825,100000000,11/2/07,R,157,Universal,Based on Real Life Events,Drama,Dramatization,Ridley Scott,79,7.9,114060,#3
Beowulf,82195215,194995215,150000000,11/16/07,PG-13,115,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Robert Zemeckis,70,6.6,62513,#4
Enchanted,127706877,340384141,85000000,11/21/07,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5,55697,#2
His Dark Materials: The Golden Compass,70107728,372234864,205000000,12/1/07,PG-13,,New Line,Based on Book/Short Story,Adventure,Fantasy,Chris Weitz,,,,#4
Juno,143495265,230327671,7000000,12/5/07,PG-13,95,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Jason Reitman,93,7.9,149855,#5
I am Legend,256393010,585055701,150000000,12/14/07,PG-13,100,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Francis Lawrence,69,7.1,153631,#4
Alvin and the Chipmunks,217326974,360578644,55000000,12/14/07,PG,92,20th Century Fox,Based on TV,Comedy,Kids Fiction,Tim Hill,27,5.5,19200,#2
Cloverfield,80048433,170764033,25000000,1/18/08,PG-13,,Paramount Pictures,Original Screenplay,Action,Science Fiction,Matt Reeves,76,7.4,136068,#3
Jumper,80172128,222117068,82500000,2/14/08,PG-13,,20th Century Fox,Based on Book/Short Story,Adventure,Science Fiction,Doug Liman,17,5.9,69161,#5
The Spiderwick Chronicles,71195053,162839667,92500000,2/14/08,PG,,Paramount Pictures,Based on Book/Short Story,Adventure,Fantasy,Mark Waters,79,6.8,18715,#5
"10,000 B.C.",94784201,269065678,105000000,3/7/08,PG-13,,Warner Bros.,Original Screenplay,Adventure,Historical Fiction,Roland Emmerich,9,5.8,134,#4
Horton Hears a Who,154529439,297133947,85000000,3/14/08,G,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,,7.2,31323,#2
Iron Man,318604126,582604126,186000000,5/2/08,PG-13,126,Paramount Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Jon Favreau,94,7.9,174040,#4
The Chronicles of Narnia: Prince Caspian,141621490,419490286,225000000,5/16/08,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,Andrew Adamson,67,6.9,46608,#1
Indiana Jones and the Kingdom of the Crystal Skull,317023851,786558145,185000000,5/22/08,PG-13,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,77,6.6,135071,#1
Sex and the City,152647258,416047258,57500000,5/30/08,R,,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,,49,5.4,46837,#2
The Incredible Hulk,134806913,263349257,137500000,6/13/08,PG-13,112,Universal,Based on Comic/Graphic Novel,Adventure,Super Hero,Louis Leterrier,66,7.1,82419,#4
The Happening,64506874,163403799,60000000,6/13/08,R,89,20th Century Fox,Original Screenplay,Thriller/Suspense,Science Fiction,M. Night Shyamalan,18,5.2,72259,#5
WALL-E,223808164,532743103,180000000,6/27/08,G,97,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,Andrew Stanton,96,8.5,182257,#1
Wanted,134508551,340934768,75000000,6/27/08,R,110,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,Timur Bekmambetov,71,6.4,1089,#4
Hancock,227946274,624346274,150000000,7/2/08,PG-13,,Sony Pictures,Original Screenplay,Action,Super Hero,Peter Berg,40,6.5,100822,#4
Journey to the Center of the Earth,101704370,240904370,45000000,7/11/08,PG,92,Warner Bros.,Based on Book/Short Story,Adventure,Science Fiction,,,5.9,23756,#2
The Dark Knight,533345358,1022345358,185000000,7/18/08,PG-13,152,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Christopher Nolan,93,8.9,465000,#1
Bienvenue chez les Ch'tis,1470856,243470856,16000000,7/25/08,Not Rated,109,Link Productions Ltd.,Original Screenplay,Comedy,Contemporary Fiction,,,7,7129,#5
The Mummy: Tomb of the Dragon Emperor,102491776,397912118,175000000,8/1/08,PG-13,111,Universal,Remake,Adventure,Fantasy,Rob Cohen,13,5.1,41570,#4
Tropic Thunder,110461307,188163455,90000000,8/13/08,R,106,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ben Stiller,83,7.2,104839,#3
Burn After Reading,60355347,163415735,37000000,9/12/08,R,,Focus Features,Original Screenplay,Black Comedy,Contemporary Fiction,Joel Coen,78,7.2,92553,#3
Eagle Eye,101440743,178066569,80000000,9/26/08,PG-13,117,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,D.J. Caruso,27,6.6,52336,#5
High School Musical 3: Senior Year,90556401,251056401,11000000,10/24/08,G,,Walt Disney Pictures,Based on TV,Musical,Contemporary Fiction,,66,3.7,18587,#5
Madagascar: Escape 2 Africa,180010950,599516844,150000000,11/7/08,PG,,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Eric Darnell,64,6.8,30285,#1
Slumdog Millionaire,141319928,365257315,14000000,11/12/08,R,116,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,Danny Boyle,94,8.3,176325,#3
Quantum of Solace,169368427,576368427,230000000,11/14/08,PG-13,,Sony Pictures,Based on Book/Short Story,Action,Contemporary Fiction,Marc Forster,64,6.8,93596,#4
Twilight,192769854,396439854,37000000,11/21/08,PG-13,120,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Catherine Hardwicke,50,6.1,4840,#2
Bolt,114053579,313953579,150000000,11/21/08,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,,88,7.4,32473,#2
Australia,49551662,207482792,78000000,11/26/08,PG-13,,20th Century Fox,Original Screenplay,Drama,Historical Fiction,Baz Luhrmann,54,6.8,38089,#5
Four Christmases,120146040,163546040,80000000,11/26/08,PG-13,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Seth Gordon,25,5.7,14690,#5
Yes Man,97690976,225990976,50000000,12/19/08,PG-13,104,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,Peyton Reed,43,7,62150,#5
Seven Pounds,69951824,166617328,54000000,12/19/08,PG-13,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gabriele Muccino,27,7.6,62718,#3
The Curious Case of Benjamin Button,127509326,329809326,160000000,12/25/08,PG-13,167,Paramount Pictures,Based on Book/Short Story,Drama,Fantasy,David Fincher,72,8,137120,#4
Valkyrie,83077470,198686497,75000000,12/25/08,PG-13,120,United Artists,Based on Real Life Events,Thriller/Suspense,Dramatization,Bryan Singer,61,7.3,54343,#3
Paul Blart: Mall Cop,146336178,180449670,26000000,1/16/09,PG,91,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,35,5.3,23753,#5
Taken,145000989,225461461,25000000,1/30/09,PG-13,,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Pierre Morel,,4.8,1125,#5
Watchmen,107509799,184068357,138000000,3/6/09,R,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Zack Snyder,64,7.8,132250,#4
Knowing,79957634,187858642,50000000,3/20/09,PG-13,121,Summit Entertainment,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Alex Proyas,32,6.4,58138,#5
Monsters vs. Aliens,198351526,381687380,175000000,3/27/09,PG,95,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Fantasy,Rob Letterman,72,6.8,26582,#1
X-Men Origins: Wolverine,179883157,374825760,150000000,5/1/09,PG-13,,20th Century Fox,Spin-Off,Action,Super Hero,Gavin Hood,,6.7,79499,#4
Star Trek,257730019,385680447,140000000,5/8/09,PG-13,,Paramount Pictures,Based on TV,Adventure,Science Fiction,J.J. Abrams,94,8.2,134187,#4
Angels & Demons,133375846,485975846,150000000,5/15/09,PG-13,,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Ron Howard,35,6.7,60114,#4
Terminator Salvation: The Future Begins,125322469,371628539,200000000,5/21/09,PG-13,116,Warner Bros.,Original Screenplay,Action,Science Fiction,Joseph McGinty Nichol,,,,#4
Night at the Museum: Battle of the Smithsonian,177243721,413054631,150000000,5/22/09,PG,104,20th Century Fox,Based on Book/Short Story,Comedy,Fantasy,Shawn Levy,,5.9,25631,#2
Up,293004164,731304609,175000000,5/29/09,PG,96,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Pete Docter,98,8.4,110491,#1
The Hangover,277322503,465132119,35000000,6/5/09,R,99,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Todd Phillips,78,7.9,127634,#2
The Proposal,163958031,317358031,40000000,6/19/09,PG-13,107,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Anne Fletcher,43,5.4,397,#2
Transformers: Revenge of the Fallen,402111870,836303693,210000000,6/24/09,PG-13,149,Paramount Pictures,Based on TV,Action,Science Fiction,Michael Bay,20,6,95786,#1
Ice Age: Dawn of the Dinosaurs,196573705,886685941,90000000,7/1/09,PG,93,20th Century Fox,Original Screenplay,Adventure,Fantasy,Carlos Saldanha,,7.1,33289,#1
Public Enemies,97104620,210379983,102500000,7/1/09,R,,Universal,Based on Book/Short Story,Drama,Dramatization,Michael Mann,68,7.1,71323,#3
Harry Potter and the Half-Blood Prince,301959197,937499905,250000000,7/15/09,PG,153,Warner Bros.,Based on Book/Short Story,Adventure,Fantasy,David Yates,83,7.3,73720,#1
G-Force,119436770,287389685,82500000,7/24/09,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,22,5,9633,#2
The Ugly Truth,88915214,203115214,38000000,7/24/09,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Robert Luketic,14,6.4,27888,#5
G.I. Joe: The Rise of Cobra,150201498,302469019,175000000,8/7/09,PG-13,118,Paramount Pictures,Based on Toy,Action,Contemporary Fiction,Stephen Sommers,,5.8,47052,#4
District 9,115646235,206552113,30000000,8/14/09,R,111,Sony Pictures,Original Screenplay,Thriller/Suspense,Science Fiction,Neill Blomkamp,91,8.3,151742,#3
Gake no ue no Ponyo,15090399,199090399,34000000,8/14/09,G,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,,7.8,13821,#5
Inglourious Basterds,120831050,320389438,70000000,8/21/09,R,152,Weinstein Co.,Original Screenplay,Action,Historical Fiction,Quentin Tarantino,88,8.4,178742,#3
The Final Destination,66477700,185777700,40000000,8/28/09,R,,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27,4.9,20319,#5
Paranormal Activity,107918810,193770453,15000,9/25/09,R,85,Paramount Pictures,Original Screenplay,Horror,Contemporary Fiction,Oren Peli,82,6.7,53455,#3
Couples Retreat,109205660,172450423,60000000,10/9/09,PG-13,113,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peter Billingsley,12,5.5,18332,#5
Disney's A Christmas Carol,137855863,323743744,190000000,11/6/09,PG,,Walt Disney Pictures,Remake,Drama,Fantasy,Robert Zemeckis,53,,,#4
2012,166112167,766812167,200000000,11/13/09,PG-13,158,Sony Pictures,Original Screenplay,Action,Science Fiction,Roland Emmerich,39,6.2,396,#4
The Twilight Saga: New Moon,296623634,702623634,50000000,11/20/09,PG-13,130,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,Chris Weitz,28,,,#2
The Blind Side,255959475,301759475,35000000,11/20/09,PG-13,,Warner Bros.,Based on Factual Book/Article,Drama,Dramatization,,66,7.7,42320,#2
The Princess and the Frog,104374107,263467382,105000000,11/25/09,G,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,John Musker,84,7.4,16232,#2
Up in the Air,83823381,166077420,30000000,12/4/09,R,,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Jason Reitman,90,,,#5
Avatar,760167650,2767891499,237000000,12/18/09,PG-13,,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,83,8.3,261439,#1
Sherlock Holmes,209028679,518249844,80000000,12/25/09,PG-13,,Warner Bros.,Based on Book/Short Story,Adventure,Historical Fiction,Guy Ritchie,69,7.5,91555,#4
It's Complicated,112735375,224614744,75000000,12/25/09,R,,Universal,Original Screenplay,Romantic Comedy,Contemporary Fiction,Nancy Meyers,57,6.7,17748,#5
Percy Jackson & the Olympians: The Lightning Thief,88761720,226435277,95000000,2/12/10,PG,,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,Chris Columbus,50,5.8,20451,#2
Valentine's Day,110485654,215771698,52000000,2/12/10,PG-13,,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Garry Marshall,17,5.7,17599,#5
Shutter Island,128012934,294512934,80000000,2/19/10,R,,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Historical Fiction,Martin Scorsese,67,8,105706,#3
Alice in Wonderland,334191110,1023291110,200000000,3/5/10,PG,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,Tim Burton,51,6.7,63458,#1
How to Train Your Dragon,217581231,491581231,165000000,3/26/10,PG,,Paramount Pictures,Based on Book/Short Story,Comedy,Fantasy,,98,8.2,28556,#1
Iron Man 2,312128345,622128345,170000000,5/7/10,PG-13,,Paramount Pictures,Based on Comic/Graphic Novel,Adventure,Super Hero,Jon Favreau,74,7.3,61256,#1
Robin Hood,105269730,310885538,210000000,5/14/10,PG-13,140,Universal,Traditional/Legend/Fairytale,Action,Historical Fiction,Ridley Scott,43,6.9,34501,#4
Shrek Forever After,238395990,729395990,165000000,5/21/10,PG,93,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,,,6.7,12193,#1
Sex and the City 2,95347692,288347692,95000000,5/27/10,R,,Warner Bros.,Based on TV,Comedy,Contemporary Fiction,,15,3.9,13796,#5
Prince of Persia: Sands of Time,90755643,335055643,200000000,5/28/10,PG-13,103,Walt Disney Pictures,Based on Game,Action,Fantasy,Mike Newell,,,,#4
The Karate Kid,176591618,350591618,40000000,6/11/10,PG,140,Sony Pictures,Remake,Adventure,Contemporary Fiction,,67,6.1,20039,#2
The A-Team,77222099,176047914,110000000,6/11/10,PG-13,119,20th Century Fox,Based on TV,Action,,Joe Carnahan,47,7.2,29886,#5
Toy Story 3,410640665,1046340665,200000000,6/18/10,G,102,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,99,8.9,67380,#1
Knight and Day,76373029,228937227,117000000,6/23/10,PG-13,109,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,James Mangold,,6.6,13887,#5
Grown Ups,161094625,250294625,75000000,6/25/10,PG-13,102,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,9,5.8,13488,#5
The Twilight Saga: Eclipse,300155447,688155447,68000000,6/30/10,PG-13,124,Summit Entertainment,Based on Book/Short Story,Drama,Fantasy,David Slade,51,,,#2
The Last Airbender,131591957,290191957,150000000,7/1/10,,103,Paramount Pictures,Based on TV,Adventure,Fantasy,M. Night Shyamalan,7,4.4,16600,#2
Despicable Me,244885070,333572855,69000000,7/9/10,PG,95,Universal,,Comedy,,,80,7.7,10529,#2
The Sorcerer's Apprentice,62492818,200092818,160000000,7/14/10,PG,110,Walt Disney Pictures,Based on Short Film,Adventure,Fantasy,,42,6.4,9108,#2
Inception,285630280,753830280,160000000,7/16/10,PG-13,147,Warner Bros.,Original Screenplay,Thriller/Suspense,Science Fiction,Christopher Nolan,87,9.1,188247,#1
The Expendables,101384023,240484023,82000000,8/13/10,,103,Lionsgate,Original Screenplay,Action,Contemporary Fiction,Sylvester Stallone,40,7.1,42427,#3
The Sound of Music,163214286,286214286,8200000,"April, 1965",,,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45,#2
